Item,Description,Qty,Unit Price,Link,Running Total
Radxa Zero 3W 8GB,Main board for emulation,1,$51,https://shop.allnetchina.cn/collections/rock-3/products/copy-of-radxa-zero-3w?variant=48051150979388,$51
2.8″ SPI TFT Display,Compact screen for handheld,1,$7.50,https://www.elecrow.com/2-8-inch-320x240-spi-serial-tft-lcd-module-display-with-driver-ic-ili9341.html?r=cmVsYXRl,$58.50
MicroSD Card 128GB,Storage for OS and ROMs,1,$15,https://www.amazon.com/SAMSUNG-Smartphones-Nintendo-Switch-MB-ME128SA-AM/dp/B0CWPN662Q/ref=sr_1_1?th=1,$73.50
Flat Li-ion / LiPo Battery 2000 mAh,Battery power source,1,$9.99,https://www.amazon.com/Qimoo-Battery-Rechargeable-Connector-Electronic/dp/B0CNLWVCK1/ref=sr_1_4?,$83.49
TP4056 Charging Module,Charging circuit for battery,1,$6.29,https://www.amazon.com/Enhanced-Function-Micro-USB-Internal-Protection/dp/B01IYFQAOM/ref=sr_1_5?,$89.78
Step-up / Voltage Boost Module,Converts battery voltage to 5 V,1,$6.99,https://www.amazon.com/Dorhea-MT3608-DC-DC-Boost-Converter/dp/B089JYBF25/ref=sr_1_12?,$96.77
ABXY Button Set (extras used for dpad),Main controls,1,$8.99,https://www.amazon.com/12x12x7-3-Momentary-Electronics-Prototyping-Projects/dp/B0FHW6ZHMD/ref=sr_1_19_sspa?,$105.76
Start / Select 6x6mm buttons,Extra small buttons for start/select,1,$6.99,https://www.amazon.com/CHANZON-RA11-BUTTON-SWITCH/dp/B09R3Q48GY?th=1,$112.75
3.5 mm Panel‑Mount Audio Jack,Headphone output,1,$9.99,https://www.amazon.com/Treedix-Female-Breakout-Plastic-Connector/dp/B08H8DR7ZW/ref=sr_1_4?crid=2GP8819OC1Y3K&dib=eyJ2IjoiMSJ9.eHpc-,$122.74
Jumper / Header Wires & Connectors,Wiring for board + buttons + battery,1,$14.99,https://www.amazon.com/IWISS-1550PCS-Connector-Headers-Balancer/dp/B08X6C7PZM/ref=sr_1_3?,$137.73
XL‑sized Tin,Altoids tin or similar metal enclosure,1,$15.00,https://www.ebay.com/itm/227108602323?_trkparms=itmf%3D1%26aid%3D111001%26rkt%3D20%26algo%3DREC.SEED%26asc%3D20240304162621%26mech%3D1%26algv%3D%26pmt%3D0%26amclksrc%3DITM%26sid%3DAQAKAAAAEAXwxNtvrUxTFaD5DluiPDU%3D%26itm%3D227108602323%26noa%3D1%26ao%3D1%26rk%3D2%26pid%3D102020%26b%3D1%26mehot%3Dnone%26lsid%3D0%26meid%3Dffd0e7c70e6f4f9aa395c1ab6bc12141%26pg%3D2332490&_trksid=p2332490.c102020.m5276,$152.73
Toggle Power Switch,Supplies power on/off cleanly,1,$6.00,https://www.amazon.com/Position-Vertical-Available-Electronic-Projects/dp/B0DR2M8B59/ref=sr_1_43_sspa?,$158.73
Resistor Kit 1/4 W,Resisters to prevent ghost presses from buttons,1,$5.98,https://www.amazon.com/Resistor-Resistors-Assortment-Breadboard-Electronics/dp/B0F4P352BB/ref=sr_1_3?dib=eyJ2IjoiMSJ9.51CpWqJSseWX_hEqqJr41AbdsMj3JnUWwQX1kHL7uCPoD1XmRUJZUkOEKaWAuWAIMoSlQ1lVkEW_tdZ41rrbbZqt4EbS3QHCguOPIZySPBdMrLJkvCwZ1_txdbL8PAw_TRjTYwls9fYiINeYinFrncl_q_tHeaGMxbdefJGztPaKf2_vclp2iwA7ZlHbxM_OnNw7k4WVr0SfXXqBM1hoEcPqSt3fE8SrBU_LfdxhjJc.YlEcL16D4I72qS8XC5J566He41yFKOjqTOZOsdVT2kM&dib_tag=se&keywords=10k+ohm+resistor+assortment&qid=1764983133&sr=8-3,$164.71
Shipping,,,$40,,$204.71
